time: 1578057099, messages: 0, members joined 0 
time: 1578057104, messages: 0, members joined 0 
time: 1578057109, messages: 0, members joined 0 
time: 1578057114, messages: 2, members joined 0 
time: 1578057119, messages: 4, members joined 0 
time: 1578057124, messages: 1, members joined 0 
time: 1578057129, messages: 0, members joined 0 
time: 1578057135, messages: 0, members joined 0 
time: 1578057140, messages: 1, members joined 0 
time: 1578057145, messages: 0, members joined 0 
time: 1578057150, messages: 0, members joined 0 
time: 1578057155, messages: 0, members joined 0 
time: 1578057163, messages: 1, members joined 0 
time: 1578057214, messages: 0, members joined 0 
time: 1578057219, messages: 6, members joined 0 
time: 1578057224, messages: 0, members joined 0 
time: 1578057254, messages: 0, members joined 0 
time: 1578057259, messages: 0, members joined 0 
time: 1578057264, messages: 2, members joined 0 
time: 1578057269, messages: 0, members joined 0 
time: 1578057274, messages: 0, members joined 0 
time: 1578057279, messages: 0, members joined 0 
time: 1578057284, messages: 0, members joined 0 
time: 1578057289, messages: 0, members joined 0 
time: 1578057294, messages: 0, members joined 0 
time: 1578057299, messages: 0, members joined 0 
time: 1578057304, messages: 0, members joined 0 
time: 1578057309, messages: 0, members joined 0 
time: 1578057314, messages: 0, members joined 0 
time: 1578057319, messages: 0, members joined 0 
time: 1578057324, messages: 0, members joined 0 
time: 1578057329, messages: 0, members joined 0 
time: 1578057334, messages: 0, members joined 0 
time: 1578057339, messages: 0, members joined 0 
time: 1578057345, messages: 0, members joined 0 
time: 1578057350, messages: 0, members joined 0 
time: 1578057355, messages: 0, members joined 0 
time: 1578057360, messages: 0, members joined 0 
time: 1578057365, messages: 0, members joined 0 
time: 1578057370, messages: 0, members joined 0 
time: 1578057375, messages: 0, members joined 0 
time: 1578057380, messages: 0, members joined 0 
time: 1578057385, messages: 0, members joined 0 
time: 1578057390, messages: 0, members joined 0 
time: 1578057395, messages: 0, members joined 0 
time: 1578057400, messages: 0, members joined 0 
time: 1578057405, messages: 0, members joined 0 
time: 1578057410, messages: 0, members joined 0 
time: 1578057415, messages: 0, members joined 0 
time: 1578057420, messages: 0, members joined 0 
time: 1578057425, messages: 0, members joined 0 
time: 1578057430, messages: 0, members joined 0 
time: 1578057435, messages: 0, members joined 0 
time: 1578057440, messages: 0, members joined 0 
time: 1578057445, messages: 0, members joined 0 
time: 1578057450, messages: 0, members joined 0 
time: 1578057455, messages: 0, members joined 0 
time: 1578057462, messages: 0, members joined 0 
time: 1578057467, messages: 1, members joined 0 
time: 1578057472, messages: 0, members joined 0 
